"gwno","event_id_cnty","event_id_no_cnty","date","year","time_precision","event_tax","actor_tax","ally_actor_1","inter1","actor2","ally_actor_2","inter2","interaction","country","admin1","admin2","admin3","location","latitude","longitude","prec_tax","source","notes","fatalities","month","day","spec_id"
475,"2881NIG",48769,2011-01-09,2011,1,"Battle-No change of territory","Muslim Militia (Nigeria)","",4,"Private Security Forces (Nigeria)","",8,48,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Gunmen opened fire on police guarding Christian worshippers at a church in northern Nigeria. A policeman was killed and two other people, including the church security guard, were seriously injured",1,1,9,"A-11"
475,"2882NIG",48770,2011-01-09,2011,1,"Protests","Rioters (Nigeria)","Muslim Group (Nigeria)",5,"Police Forces of Nigeria (2010-)","",1,15,"Nigeria","Plateau","Jos South","","Bukuru",9.8,8.86667,1,"Agence France Presse","Fresh tensions in central Nigeria left ""many"" houses burnt on Sunday and led security forces to rush to the area to restore calm, after a Christian community member's house was burnt and Christian residents sought to retaliate. Security forces brought the situation in the Bukuru area under control. Six people were seriously injured and being treated in hospital.",0,1,9,"A-12"
475,"2883NIG",48771,2011-01-11,2011,1,"Violence against civilians","Christian Militia (Nigeria)","",4,"Civilians (Nigeria)","Muslim Group (Nigeria)",7,47,"Nigeria","Plateau","Barkin Ladi","","Barkin Ladi",9.53333,8.9,1,"Reuters","Following an attack on Christian community in Wareng, a further five people were killed in what appeared to have been a reprisal attack in the village of Barkin Ladi. ",5,1,11,"A-13"
475,"2884NIG",48772,2011-01-11,2011,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)","",4,"Civilians (Nigeria)","Christian Group (Nigeria)",7,47,"Nigeria","Plateau","Langtang North","","Plateau",9.16667,9.75,2,"Agence France Presse","13 people were reported killed in an attack on a mainly Christian village. A local politician also told AFP that 13 people were believed killed in Wareng, alleging Fulani Muslims had attacked Christian Beroms in the village.",13,1,11,"A-14"
475,"2885NIG",48773,2011-01-13,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","Labour Party",7,37,"Nigeria","Bayelsa","Southern Ijaw","","Bayelsa State",4.75,6.08333,2,"Retuers","An explosion hit the local headquarters of an opposition party in Nigeria's oil-producing Niger Delta shortly after delegates had finished holding state governorship primaries. The explosion took place at the Labour Party office. ",0,1,13,"A-15"
475,"2886NIG",48774,2011-01-15,2011,1,"Protests","Protesters (Nigeria)","",6,"","",0,60,"Nigeria","Adamawa","Gombi","","Adamawa State",9.33333,12.5,3,"BBC Monitoring Africa","In Adamawa State, there were protests over the voting pattern of the state's PDP delegates at the convention. The delegates from Adamawa, the state of origin of former Vice President Atiku Abubakar, voted 76 to 31 in favour of President Jonathan.",0,1,15,"A-16"
475,"2887NIG",48775,2011-01-15,2011,1,"Protests","Protesters (Nigeria)","",6,"","",0,60,"Nigeria","Jigawa","Hadejia","","Hadejia",12.44806,10.04361,1,"BBC Monitoring Africa","There were protests in Hadejia, in Jigawa State at the weekend over the voting pattern by the Peoples Democratic Party (PDP) northern delegates to the presidential primary election in Abuja. Youths, who took over major streets set fire on some PDP billboards and flags erected by the party's faithfuls all over the town ",0,1,15,"A-17"
475,"2888NIG",48776,2011-01-15,2011,1,"Protests","Protesters (Nigeria)","",6,"","",0,60,"Nigeria","Katsina","Katsina (K)","","Katsina City",12.98943,7.60063,1,"BBC Monitoring Africa","There were protests in Katsina, the capital of Katsina State, and Hadejia, in Jigawa State at the weekend over the voting pattern by the Peoples Democratic Party (PDP) northern delegates to the presidential primary election in Abuja. ",0,1,15,"A-18"
475,"2889NIG",48777,2011-01-16,2011,1,"Protests","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2010-)","",1,15,"Nigeria","Kaduna","Kaduna South","","Kaduna",10.52224,7.43828,1,"Daily Trust (Abuja)","Pandemonium had broken out along the busy Muhammadu Buhari/ Waff Road in Kaduna metropolis when youths numbering about a hundred set ablaze the flag of the ruling PDP. They said they were protesting the outcome of the party's presidential primaries held in Abuja last Thursday. The youths, who barricaded the road for some time, created tension in the area as passersby scampered away for safety. The youths who came on motorcycles were chanting ""Ba muson PDP,"" meaning they don't want PDP. Police dispersed the group. ",0,1,16,"A-19"
475,"2890NIG",48778,2011-01-16,2011,1,"Protests","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2010-)","",1,15,"Nigeria","Nassarawa","Shabu","","Shabu",8.56667,8.55,1,"Vanguard (Nigeria)","Two Police officers and two journalists with Vanguard newspapers narrowly escaped death, during the evening hours at Shabu village, Nasarawa State when a group of youths, protesting against the death of their colleagues, held them hostage for hours. The demonstration began against speed-breakers along a nearby highway - the protesters barricaded the road with objects and lit fires. ",0,1,16,"A-20"
475,"2893NIG",48781,2011-01-17,2011,1,"Violence against civilians","Christian Militia (Nigeria)","",4,"Civilians (Nigeria)","",7,47,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","A Christian mob razed a mosque and hacked an electoral worker to death Monday as it barred Muslim organisers of April's polls from a registration exercise in Nigeria's Jos region. ",1,1,17,"A-21"
475,"2894NIG",48782,2011-01-17,2011,1,"Violence against civilians","Rioters (Nigeria)","Christian Group (Nigeria)",5,"Civilians (Nigeria)","Hausa Ethnic Group (Nigeria)",7,57,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Daily Champion (Lagos)","Military forces open fire and kill two rioters of a Christian group after rioters threw stones at Hausa youth attempting to vote under military escort. One Hausa voter reported dead. Christians in the area largely feel the Hausa population marginalizies their vote. ",1,1,17,"A-22"
475,"2891NIG",48779,2011-01-17,2011,1,"Riots","Rioters (Nigeria)","Christian Group (Nigeria)",5,"Military Forces of Nigeria (2010-)","",1,15,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Daily Champion (Lagos)","Military forces open fire and kill two rioters of a Christian group after rioters threw stones at Hausa youth attempting to vote under military escort. One Hausa voter reported dead. Christians in the area largely feel the Hausa population marginalizies their vote. ",2,1,17,"A-23"
475,"2892NIG",48780,2011-01-17,2011,1,"Riots","Rioters (Nigeria)","Christian Group (Nigeria)",5,"Police Forces of Nigeria (2010-)","",1,15,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","A Christian mob razed a mosque and hacked an electoral worker to death Monday as it barred Muslim organisers of April's polls from a registration exercise in Nigeria's Jos region. Three people were killed when soldiers sought to quell the disturbance. Two soldiers were also wounded and military vans damaged during the attack.",3,1,17,"A-24"
475,"2895NIG",48783,2011-01-18,2011,1,"Protests","Rioters (Nigeria)","PDP: People's Democratic Party",5,"","",0,50,"Nigeria","Benue","Makurdi","","Makurdi",7.7411,8.5121,1,"Daily Trust (Abuja)","Hundreds of PDP youth displeased with the result of the recent presidential primary election violently protest in Makurdi. The group blocked roads as they denounced the PDP and burned their voter registration cards. ",0,1,18,"A-25"
475,"2896NIG",48784,2011-01-20,2011,1,"Protests","Protesters (Nigeria)","Government of Nigeria (2010-)",6,"","",0,60,"Nigeria","Benue","Makurdi","","Makurdi",7.7411,8.5121,1,"Daily Trust (Abuja)","Traditional rulers from Kwande Local Government Area of Benue State yesterday staged a peaceful protest in Makurdi over non-payment of their six months allowances by the immediate past chairman of the council, Mr. Terlumun Akputu",0,1,20,"A-26"
475,"2897NIG",48785,2011-01-20,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Egypt)","",7,37,"Nigeria","Rivers","Bonny","","Bonny Export Terminal",4.38333,7.1,2,"Agence France Presse","Kidnappers abducted an Egyptian oil worker early Friday from a ship off Nigeria's coast after seizing control of the vessel for several hours before leaving. The whereabouts of the victim were unclear. ",0,1,20,"A-27"
475,"2898NIG",48786,2011-01-23,2011,1,"Battle-No change of territory","Boko Haram","",3,"Military Forces of Nigeria (2010-)","",1,13,"Nigeria","Borno","Biu","","Biu",10.61285,12.19458,1,"Agence France Presse","Suspected members of an Islamist sect opened fire at a checkpoint in northern Nigeria, killing a soldier. The attackers killed the soldier on Sunday night and wounded two others at a checkpoint in the town of Biu, 200 kilometres (125 miles) south of Maiduguri. ",1,1,23,"A-28"
475,"2899NIG",48787,2011-01-23,2011,1,"Battle-No change of territory","Boko Haram","",3,"Military Forces of Nigeria (2010-)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Suspected members of an Islamist sect blamed for a series of attacks in Nigeria's north shot dead a soldier guarding a church on Sunday and stole his rifle. Attackers on motorcycles killed the soldier in the city of Maiduguri. ",1,1,23,"A-29"
475,"2901NIG",48789,2011-01-23,2011,1,"Violence against civilians","Military Forces of Nigeria (2007-2010)","",1,"Civilians (Nigeria)","",7,17,"Nigeria","Plateau","Langtang North","","Plateau",9.16667,9.75,2,"Agence France Presse","Armed men in military uniform attacked Farin Lamba village, ... killed four persons and injured five others. ",4,1,23,"A-30"
475,"2900NIG",48788,2011-01-23,2011,1,"Violence against civilians","Muslim Militia (Nigeria)","",4,"Civilians (Nigeria)","Christian Group (Nigeria)",7,47,"Nigeria","Plateau","Langtang North","","Plateau",9.16667,9.75,2,"Agence France Presse","one person was killed and about 10 injured during a clash mid-month between members of two factions of the same ethnic group in Pitoa (north) national radio reported on Feb. 19th 1999. The incident took place in the market where two Foulbe factions began",1,1,23,"A-31"
475,"2902NIG",48790,2011-01-24,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","Military Forces of Nigeria (2007-2010)",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Motorcycle-riding gunmen killed an off-duty military officer as he exited a mosque in Maiduguri. ",1,1,24,"A-32"
475,"2903NIG",48791,2011-01-24,2011,1,"Protests","Protesters (Nigeria)","",6,"","",0,60,"Nigeria","Lagos","LagosIsland","","Lagos",6.45306,3.39583,1,"BBC Monitoring Africa","In Lagos, thousands of residents comprising human rights advocates, civil society groups, student union activists and community leaders, among others, stormed the state office of the Independent National Electoral Commission (INEC) and the state secretariat, protesting voter registration irregularities. ",0,1,24,"A-33"
475,"2904NIG",48792,2011-01-24,2011,1,"Protests","Rioters (Nigeria)","Christian Group (Nigeria)",5,"Police Forces of Nigeria (2010-)","",1,15,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Reuters","Villagers staged protests against the military in central Nigeria on Monday, hurling stones and burning the tents of soldiers who they blamed for the killing of five local residents over the weekend.",0,1,24,"A-34"
475,"2906NIG",48794,2011-01-26,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2010-)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Gunmen suspected to be members of Islamist sect Boko Haram opened fire on police guarding voter registration equipment at a school in northern Nigeria, killing one officer and critically injuring another. Officers engaged in a shootout with the gunmen for about five minutes but were overpowered. ",1,1,26,"A-35"
475,"2907NIG",48795,2011-01-26,2011,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)","",4,"Civilians (Nigeria)","",7,47,"Nigeria","Plateau","Barkin Ladi","","Barkin Ladi",9.53333,8.9,1,"BBC Monitoring Africa","No fewer than 12 people were killed at a dawn attack on small villages in Jong, Sunkut and Luhana villages in Barkin Ladi. Fulani herdsmen whose 102 cattle and 12 sheep were rustled from one Hassan Abdulkarim on 21 January by the residents of BarkinLadi came for their cows.",4,1,26,"A-36"
475,"2908NIG",48796,2011-01-26,2011,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)","",4,"Civilians (Nigeria)","",7,47,"Nigeria","Plateau","Barkin Ladi","","Jong",9.53333,8.9,2,"BBC Monitoring Africa","No fewer than 12 people were killed at a dawn attack on small villages in Jong, Sunkut and Luhana villages in Barkin Ladi. Fulani herdsmen whose 102 cattle and 12 sheep were rustled from one Hassan Abdulkarim on 21 January by the residents of BarkinLadi came for their cows.",4,1,26,"A-37"
475,"2910NIG",48798,2011-01-26,2011,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)","",4,"Civilians (Nigeria)","",7,47,"Nigeria","Plateau","Langtang North","","Plateau",9.16667,9.75,2,"BBC Monitoring Africa","No fewer than 12 people were killed at a dawn attack on small villages in Jong, Sunkut and Luhana villages in Barkin Ladi. Fulani herdsmen whose 102 cattle and 12 sheep were rustled from one Hassan Abdulkarim on 21 January by the residents of BarkinLadi came for their cows.",4,1,26,"A-38"
475,"2909NIG",48797,2011-01-26,2011,1,"Battle-No change of territory","Fulani Ethnic Militia (Nigeria)","",4,"Unidentified Armed Group (Nigeria)","",3,34,"Nigeria","Plateau","Langtang North","","Plateau",9.16667,9.75,2,"BBC Monitoring Africa","In addition to raids in Jong, Sunkut and Luhana villages in Barkin Ladi, Fulani herdsmen attempted to attack Yelwa village but were repelled by locals. ",0,1,26,"A-39"
475,"2905NIG",48793,2011-01-26,2011,1,"Battle-No change of territory","Muslim Militia (Nigeria)","",4,"Christian Militia (Nigeria)","",4,44,"Nigeria","Bauchi","Tafawa-B","","Tafawa Balewa",9.7583,9.5572,1,"Agence France Presse","Four people died while 50 houses and five mosques were burnt when a dispute over a billiards sparked overnight clashes between Christians and Muslims in central Nigeria. The clashes followed the burning of a snooker board by unknown arsonists. The billiards table had belonged to a Christian resident. ",4,1,26,"A-40"
475,"2911NIG",48799,2011-01-26,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Rivers","Asari-To","","Rivers",4.75,6.83333,3,"Agence France Presse","Armed men seized two officers from aboard a Greek freighter anchored in a Nigerian port and wounded two crew. ",0,1,26,"A-41"
475,"2912NIG",48800,2011-01-28,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","ANPP: All Nigeria People's Party",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Gunmen shot dead a leading governorship candidate and six others on Friday in northern Nigeria in a suspected political assassination ahead of April elections. Witnesses said that four gunmen arrived on two motorbikes as Modu Fannami Gubio was sitting outside after greeting his father following Friday's Muslim. Others killed were his younger brother, security aides and political associates. Boko Haram later claimed responsibility for the attack. ",7,1,28,"A-42"
475,"2913NIG",48801,2011-01-28,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","Students (Nigeria)",7,37,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","Motorcycle-riding attackers stabbed thre University of Jos students, leading to protests and clashes over the following days. ",0,1,28,"A-43"
475,"2914NIG",48802,2011-01-29,2011,1,"Battle-No change of territory","Boko Haram","",3,"Military Forces of Nigeria (2010-)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Elsewhere in Maiduguri, gunmen attacked an army checkpoint Saturday night, damaging a military vehicle in a four-minute gun battle. ",0,1,29,"A-44"
475,"2916NIG",48804,2011-01-29,2011,1,"Violence against civilians","Civilians (Nigeria)","Protesters (Nigeria)",7,"Police Forces of Nigeria (1999-2007)","",1,17,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","Military forces opened fire to disperse a student demonstration concerning security on campus, killing one and wounding 24. ",1,1,29,"A-45"
475,"2915NIG",48803,2011-01-29,2011,1,"Protests","Rioters (Nigeria)","Civilians (Students)",5,"","",0,50,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","Following the wounding of several students by military forces at a demonstation, residents rioted in Jos, setting filling stations, churches and mosques ablaze. ",0,1,29,"A-46"
475,"2919NIG",48807,2011-01-30,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2010-)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Two suspected members of an Islamist sect and a policeman were killed Sunday in a checkpoint shootout. The gunmen who arrived in a car opened fire on the three policemen on duty at the check point who returned fire that led to a shootout in which two of the attackers and a police corporal were killed. ",3,1,30,"A-47"
475,"2918NIG",48806,2011-01-30,2011,1,"Protests","Rioters (Nigeria)","",5,"Military Forces of Nigeria (2010-)","",1,15,"Nigeria","Benue","Makurdi","","Makurdi",7.7411,8.5121,1,"Vanguard (Nigeria)","Angered residents of Makurdi clash with a group of soldiers after it is believed a soldier assaulted the son of a prominent area politician and ransacked his house. The validity of the resident's claims are not known. Injuries/causalities are not known. ",0,1,30,"A-48"
475,"2917NIG",48805,2011-01-30,2011,1,"Non-violent activity by a conflict actor","Unidentified Armed Group (Nigeria)","",3,"","",0,30,"Nigeria","Bauchi","Bauchi","","Bauchi",10.31583,9.84417,1,"Agence France Presse","An unidentified man masquerading as a worshipper left a laptop bag containing a remote-controlled homemade bomb in a Methodist church in Bauchi city. A police bomb squad defused the explosive, which was a ""contraption of aluminium shreds, ammonia fertiliser and mobile-phone batteries. ",0,1,30,"A-49"
475,"2920NIG",48808,2011-01-31,2011,1,"Protests","Protesters (Nigeria)","Christian Group (Nigeria)",6,"","",0,60,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","Christians and Muslims on Monday staged back-to-back protest marches in Jos, a Nigerian central city rocked repeatedly by a wave of sectarian violence. Hundreds of Christian women dressed in black took to the streets demanding the withdrawal of the army after soldiers who fired at protesting students at the weekend. The women alleged the military was biased against Christians.",0,1,31,"A-50"
475,"2921NIG",48809,2011-01-31,2011,1,"Protests","Protesters (Nigeria)","Christian Group (Nigeria)",6,"","",0,60,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","Christians and Muslims on Monday staged back-to-back protest marches in Jos, a Nigerian central city rocked repeatedly by a wave of sectarian violence. Young Muslim men poured out calling for the removal of the state governor Jonah Jang, a Christian they accuse of abetting the violence for political ends.",0,1,31,"A-51"
475,"2922NIG",48810,2011-02-01,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2010-)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Reuters","Suspected members of a radical Islamist sect in northeastern Nigeria shot dead a senior police officer on Tuesday. The assailants opened fire on his car, killing him on the spot and critically injuring his young daughter who was with him. ",1,2,1,"A-52"
475,"2923NIG",48811,2011-02-02,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2010-)","",1,13,"Nigeria","Borno","Biu","","Biu",10.61285,12.19458,1,"Agence France Presse","A policeman was shot and killed and another one badly injured by gunmen suspected to be members of Boko Haram who attacked the house of the police area commander in Biu where the policemen were on duty guarding the residence. ",1,2,2,"A-53"
475,"2924NIG",48812,2011-02-02,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Cameroon)","",7,37,"Nigeria","Cross River","Bakassi","","Ikang",4.7898,8.5316,1,"Dow Jones","Eleven Cameroon government and military officials kidnapped Sunday in the oil-rich Bakassi peninsula are likely being held in neighboring Nigeria, a local government official in Cameroon has said. Eyewitnesses said they identified the kidnappers as Nigerian militias. ",0,2,2,"A-54"
475,"2925NIG",48813,2011-02-07,2011,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)","",4,"Civilians (Nigeria)","",7,47,"Nigeria","Benue","GwerWest","","Tyokegh",7.37916,9.09946,1,"Leadership (Abuja)","About 12 persons were feared dead in Gwer West Local Council of Benue State after armed Fulani herdsmen invaded Tyotegh council ward to carry out reprisal attacks over purported killing of their cattle by indigenes of the area. It was learned that the rampaging Fulani herdsmen who rode on horses and motor-bikes invaded Tyotegh village on Monday night shooting at residents and burning their homes randomly.",12,2,7,"A-55"
475,"2926NIG",48814,2011-02-07,2011,1,"Protests","Protesters (Nigeria)","",6,"Police Forces of Nigeria (2010-)","",1,16,"Nigeria","Nassarawa","Lafia","","Lafia",8.4833,8.5167,1,"BBC Monitoring Africa","A mob heckled President Goodluck Jonathan as he was leaving the Emir of Lafia's palace, just before he launched his campaign for re-election in the North Central Zone. The crowd erupted, raising placards and shouting slogans ""Nigeria Sai Buhari, Nasarawa, Sai Al-Makura."" ",0,2,7,"A-56"
475,"2927NIG",48815,2011-02-08,2011,1,"Protests","Protesters (Nigeria)","CPC: Congress for Progressive Change",6,"Police Forces of Nigeria (2010-)","",1,16,"Nigeria","Nassarawa","Lafia","","Lafia",8.4833,8.5167,1,"BBC Monitoring Africa","Wild demonstrations by various groups including angry youths hit the Nasarawa State capital of Lafia, protesting Tuesday's arrest of the governorship candidate of the Congress for Progressive Change. ",0,2,8,"A-57"
475,"2928NIG",48816,2011-02-09,2011,1,"Protests","Protesters (Nigeria)","CPC: Congress for Progressive Change",6,"Police Forces of Nigeria (2010-)","",1,16,"Nigeria","Nassarawa","Lafia","","Lafia",8.4833,8.5167,1,"BBC Monitoring Africa","Wild demonstrations by various groups including angry youths hit the Nasarawa State capital of Lafia, protesting Tuesday's arrest of the governorship candidate of the Congress for Progressive Change. ",0,2,9,"A-58"
475,"2929NIG",48817,2011-02-10,2011,1,"Violence against civilians","Civilians (Nigeria)","CPC: Congress for Progressive Change",7,"Police Forces of Nigeria (1999-2007)","",1,17,"Nigeria","Nassarawa","Lafia","","Lafia",8.4833,8.5167,1,"BBC Monitoring Africa","Wild demonstrations by various groups including angry youths hit the Nasarawa State capital of Lafia, protesting Tuesday's arrest of the governorship candidate of the Congress for Progressive Change. The police opened fire on demonstrators on the third day of protesting, wounding several and killing two children. ",2,2,10,"A-59"
475,"2930NIG",48818,2011-02-10,2011,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)","",4,"Civilians (Nigeria)","Christian Group (Nigeria)",7,47,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","Five people including a child were shot dead in an overnight attack in violence-wracked central Nigeria over a cattle dispute. Police in Plateau State said ""cattle rustlers"" stormed residential quarters of a soil conservation college in Vom, a Christian village on the outskirts of Jos, and killed the five, among them a three-year-old girl. The suspects were after a herd of cattle belonging to one of the college workers",5,2,10,"A-60"
475,"2931NIG",48819,2011-02-11,2011,1,"Battle-No change of territory","PDP: People's Democratic Party","",3,"AC: Action Congress ","",3,33,"Nigeria","Benue","Gboko","","Yandev",7.36308,9.04235,1,"Leadership (Abuja)","Supports of PDP ambush a AC Nigeria convoy in Yandev, which spurred a clash causing five injuries. Despite the AC claims of the attack the PDP leadership denied the initial assault took place. Further, the PDP alleges members of AC attacked the convoy of the governor, which the AC equally denies. ",0,2,11,"A-61"
475,"2933NIG",48821,2011-02-12,2011,1,"Riots","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2010-)","",1,15,"Nigeria","Rivers","Port Harcourt","","Port Harcourt",4.78917,6.99861,2,"Agence France Presse","A stampede at a campaign rally on Saturday for Nigerian President Goodluck Jonathan in the oil-producing Niger Delta region killed at least 11 people and injured 29 others. A witness said a police officer shot into the air as crowd members surged out of the 20,000-seat stadium. While the gunshots were apparently aimed at controlling the crowd, they instead created panic. ",11,2,12,"A-62"
475,"2932NIG",48820,2011-02-12,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Plateau","Langtang North","","Plateau",9.16667,9.75,2,"Agence France Presse","Four people were killed in a pre-dawn attack in central Nigeria's volatile state of Plateau. An elderly woman and her husband were beheaded and two of their grandchildren battered to death by unknown assailants. The criminals were believed to be ritual killers because they beheaded the woman and took her head. ",4,2,12,"A-63"
